CMDLINE C:\Users\Aeder\AppData\Local\Programs\Python\Python310\python.exe Run_test.py
MEM 145.859375 1654977178.7702
MEM 145.863281 1654977178.8802
MEM 145.878906 1654977178.9922
MEM 143.832031 1654977179.1042
MEM 145.230469 1654977179.2132
MEM 145.230469 1654977179.3242
MEM 145.230469 1654977179.4352
MEM 145.230469 1654977179.5472
MEM 145.230469 1654977179.6572
MEM 145.230469 1654977179.7682
MEM 145.230469 1654977179.8782
MEM 145.230469 1654977179.9902
MEM 145.230469 1654977180.1002
MEM 145.230469 1654977180.2112
MEM 145.246094 1654977180.3232
MEM 145.246094 1654977180.4342
MEM 144.640625 1654977180.5442
MEM 145.968750 1654977180.6552
MEM 145.968750 1654977180.7652
MEM 145.968750 1654977180.8752
MEM 145.968750 1654977180.9862
MEM 145.968750 1654977181.0972
MEM 147.218750 1654977181.2082
MEM 147.218750 1654977181.3192
MEM 148.535156 1654977181.4312
MEM 153.730469 1654977181.5432
MEM 153.792969 1654977181.6532
MEM 153.792969 1654977181.7652
MEM 153.792969 1654977181.8762
MEM 153.792969 1654977181.9872
MEM 153.792969 1654977182.0982
MEM 153.792969 1654977182.2102
MEM 153.792969 1654977182.3192
MEM 149.296875 1654977182.4312
MEM 149.296875 1654977182.5422
MEM 149.296875 1654977182.6518
MEM 149.796875 1654977182.7638
MEM 150.824219 1654977182.8739
MEM 150.824219 1654977182.9848
MEM 150.824219 1654977183.0959
MEM 150.824219 1654977183.2068
MEM 150.824219 1654977183.3158
MEM 150.824219 1654977183.4279
MEM 150.824219 1654977183.5379
MEM 150.824219 1654977183.6489
MEM 150.824219 1654977183.7599
MEM 150.824219 1654977183.8699
MEM 150.824219 1654977183.9809
MEM 150.824219 1654977184.0908
MEM 150.824219 1654977184.2029
MEM 150.906250 1654977184.3139
MEM 150.906250 1654977184.4249
MEM 150.964844 1654977184.5368
MEM 151.035156 1654977184.6489
MEM 151.035156 1654977184.7589
MEM 151.035156 1654977184.8699
MEM 151.035156 1654977184.9798
MEM 151.035156 1654977185.0909
MEM 151.035156 1654977185.2018
MEM 151.035156 1654977185.3088
MEM 151.035156 1654977185.4189
MEM 151.031250 1654977185.5299
MEM 151.031250 1654977185.6398
MEM 151.031250 1654977185.7508
MEM 151.031250 1654977185.8609
MEM 150.992188 1654977185.9699
MEM 153.867188 1654977186.0818
MEM 153.867188 1654977186.1939
MEM 153.867188 1654977186.3048
MEM 153.867188 1654977186.4169
MEM 153.867188 1654977186.5288
MEM 153.867188 1654977186.6359
MEM 153.867188 1654977186.7449
MEM 153.867188 1654977186.8569
MEM 153.867188 1654977186.9669
MEM 153.867188 1654977187.0738
MEM 153.867188 1654977187.1849
MEM 153.867188 1654977187.2918
MEM 153.867188 1654977187.4029
MEM 153.867188 1654977187.5148
MEM 153.867188 1654977187.6249
MEM 153.867188 1654977187.7339
MEM 149.070312 1654977187.8449
MEM 149.648438 1654977187.9549
MEM 150.054688 1654977188.0648
MEM 151.101562 1654977188.1749
MEM 151.101562 1654977188.2849
MEM 151.101562 1654977188.3949
MEM 151.101562 1654977188.5048
MEM 151.101562 1654977188.6158
MEM 151.101562 1654977188.7249
MEM 151.101562 1654977188.8349
MEM 151.101562 1654977188.9459
MEM 151.101562 1654977189.0569
MEM 151.195312 1654977189.1669
MEM 151.687500 1654977189.2779
MEM 151.687500 1654977189.3879
MEM 151.687500 1654977189.4998
MEM 151.687500 1654977189.6099
MEM 151.687500 1654977189.7189
MEM 151.687500 1654977189.8299
MEM 151.687500 1654977189.9379
MEM 151.687500 1654977190.0499
MEM 151.687500 1654977190.1599
MEM 151.687500 1654977190.2709
MEM 151.687500 1654977190.3829
MEM 151.687500 1654977190.4939
MEM 151.687500 1654977190.6049
MEM 151.687500 1654977190.7148
MEM 151.687500 1654977190.8269
MEM 151.687500 1654977190.9379
MEM 151.687500 1654977191.0469
MEM 151.687500 1654977191.1559
MEM 152.105469 1654977191.2669
MEM 152.148438 1654977191.3778
MEM 153.417969 1654977191.4905
MEM 159.558594 1654977191.6015
MEM 159.746094 1654977191.7125
MEM 159.746094 1654977191.8245
MEM 159.746094 1654977191.9345
MEM 159.746094 1654977192.0445
MEM 159.746094 1654977192.1545
MEM 159.746094 1654977192.2655
MEM 159.746094 1654977192.3765
MEM 161.980469 1654977192.4875
MEM 162.539062 1654977192.5981
MEM 150.457031 1654977192.7101
MEM 151.058594 1654977192.8211
MEM 151.675781 1654977192.9321
MEM 151.675781 1654977193.0431
MEM 151.675781 1654977193.1531
MEM 151.675781 1654977193.2631
MEM 151.675781 1654977193.3731
MEM 151.675781 1654977193.4851
MEM 151.675781 1654977193.5961
MEM 151.675781 1654977193.7051
MEM 151.679688 1654977193.8161
MEM 152.484375 1654977193.9271
MEM 152.484375 1654977194.0371
MEM 152.484375 1654977194.1481
MEM 153.675781 1654977194.2601
MEM 154.167969 1654977194.3701
MEM 154.167969 1654977194.4821
MEM 154.167969 1654977194.5911
MEM 154.167969 1654977194.6991
MEM 154.167969 1654977194.8101
MEM 154.167969 1654977194.9211
MEM 154.167969 1654977195.0321
MEM 154.167969 1654977195.1431
MEM 154.167969 1654977195.2551
MEM 154.167969 1654977195.3641
MEM 154.167969 1654977195.4761
MEM 154.167969 1654977195.5871
MEM 154.167969 1654977195.6991
MEM 154.167969 1654977195.8091
