CMDLINE C:\Users\Aeder\AppData\Local\Programs\Python\Python310\python.exe Run_test.py
MEM 159.074219 1654976885.9676
MEM 159.074219 1654976886.0756
MEM 162.308594 1654976886.1855
MEM 148.710938 1654976886.2956
MEM 157.550781 1654976886.4066
MEM 159.031250 1654976886.5175
MEM 160.246094 1654976886.6270
MEM 155.722656 1654976886.7380
MEM 162.917969 1654976886.8500
MEM 169.609375 1654976886.9600
MEM 183.675781 1654976887.0720
MEM 197.347656 1654976887.1840
MEM 197.375000 1654976887.2950
MEM 198.371094 1654976887.4050
MEM 198.371094 1654976887.5150
MEM 198.375000 1654976887.6240
MEM 198.378906 1654976887.7340
MEM 198.378906 1654976887.8440
MEM 197.644531 1654976887.9560
MEM 173.082031 1654976888.0650
MEM 154.632812 1654976888.1760
MEM 160.039062 1654976888.2860
MEM 166.250000 1654976888.3980
MEM 177.382812 1654976888.5090
MEM 194.039062 1654976888.6210
MEM 195.214844 1654976888.7320
MEM 196.308594 1654976888.8420
MEM 196.332031 1654976888.9520
MEM 196.355469 1654976889.0630
MEM 196.359375 1654976889.1740
MEM 196.359375 1654976889.2830
MEM 196.359375 1654976889.3950
MEM 196.359375 1654976889.5060
MEM 195.343750 1654976889.6170
MEM 173.976562 1654976889.7280
MEM 158.667969 1654976889.8400
MEM 162.792969 1654976889.9520
MEM 168.281250 1654976890.0610
MEM 177.871094 1654976890.1710
MEM 195.082031 1654976890.2820
MEM 197.824219 1654976890.3920
MEM 198.839844 1654976890.5040
MEM 198.867188 1654976890.6150
MEM 198.871094 1654976890.7270
MEM 198.871094 1654976890.8380
MEM 198.871094 1654976890.9490
MEM 198.878906 1654976891.0600
MEM 198.878906 1654976891.1710
MEM 198.945312 1654976891.2810
MEM 200.437500 1654976891.3920
MEM 160.000000 1654976891.5020
MEM 168.929688 1654976891.6110
MEM 177.886719 1654976891.7210
MEM 186.164062 1654976891.8310
MEM 205.058594 1654976891.9400
MEM 209.277344 1654976892.0480
MEM 210.347656 1654976892.1600
MEM 210.375000 1654976892.2710
MEM 210.433594 1654976892.3820
MEM 210.433594 1654976892.4930
MEM 210.437500 1654976892.6026
MEM 210.437500 1654976892.7136
MEM 210.437500 1654976892.8256
MEM 209.300781 1654976892.9366
MEM 209.910156 1654976893.0466
MEM 173.515625 1654976893.1576
MEM 165.183594 1654976893.2656
MEM 170.503906 1654976893.3756
MEM 176.171875 1654976893.4836
MEM 186.687500 1654976893.5936
MEM 203.636719 1654976893.7046
MEM 205.667969 1654976893.8166
MEM 206.714844 1654976893.9266
MEM 206.765625 1654976894.0386
MEM 206.832031 1654976894.1496
MEM 206.832031 1654976894.2606
MEM 206.832031 1654976894.3706
MEM 206.835938 1654976894.4806
MEM 206.835938 1654976894.5916
MEM 205.894531 1654976894.7016
MEM 204.609375 1654976894.8126
MEM 168.335938 1654976894.9216
MEM 168.335938 1654976895.0316
MEM 172.859375 1654976895.1426
MEM 182.175781 1654976895.2546
MEM 198.484375 1654976895.3636
MEM 206.691406 1654976895.4746
MEM 207.882812 1654976895.5856
MEM 207.914062 1654976895.6966
MEM 207.933594 1654976895.8086
MEM 207.933594 1654976895.9176
MEM 207.933594 1654976896.0256
MEM 207.933594 1654976896.1376
MEM 207.933594 1654976896.2476
MEM 207.933594 1654976896.3586
MEM 206.957031 1654976896.4676
MEM 186.074219 1654976896.5766
MEM 172.769531 1654976896.6836
MEM 175.503906 1654976896.7946
MEM 184.085938 1654976896.9056
MEM 197.066406 1654976897.0136
MEM 208.644531 1654976897.1256
MEM 210.195312 1654976897.2376
MEM 211.175781 1654976897.3456
MEM 211.222656 1654976897.4566
MEM 211.226562 1654976897.5686
MEM 211.226562 1654976897.6786
MEM 211.242188 1654976897.7896
MEM 211.292969 1654976897.8996
MEM 211.312500 1654976898.0106
MEM 210.187500 1654976898.1216
MEM 212.894531 1654976898.2326
MEM 175.992188 1654976898.3436
MEM 167.886719 1654976898.4516
MEM 173.332031 1654976898.5616
MEM 180.179688 1654976898.6716
MEM 194.351562 1654976898.7806
MEM 208.906250 1654976898.8896
MEM 209.441406 1654976898.9986
MEM 210.453125 1654976899.1086
MEM 210.500000 1654976899.2186
MEM 210.503906 1654976899.3296
MEM 210.519531 1654976899.4406
MEM 210.523438 1654976899.5496
MEM 210.554688 1654976899.6616
MEM 210.554688 1654976899.7716
