CMDLINE C:\Users\Aeder\AppData\Local\Programs\Python\Python310\python.exe Run_test.py
MEM 142.816406 1654973678.3032
MEM 143.648438 1654973678.4152
MEM 143.121094 1654973678.5242
MEM 140.457031 1654973678.6362
MEM 143.515625 1654973678.7472
MEM 141.496094 1654973678.8582
MEM 143.792969 1654973678.9682
MEM 144.589844 1654973679.0792
MEM 144.027344 1654973679.1892
MEM 144.046875 1654973679.2982
MEM 146.816406 1654973679.4098
MEM 145.285156 1654973679.5208
MEM 139.812500 1654973679.6328
MEM 136.773438 1654973679.7438
MEM 140.902344 1654973679.8548
MEM 138.179688 1654973679.9668
MEM 141.363281 1654973680.0788
MEM 138.851562 1654973680.1878
MEM 142.074219 1654973680.2978
MEM 141.839844 1654973680.4098
MEM 145.050781 1654973680.5198
MEM 144.781250 1654973680.6318
MEM 147.726562 1654973680.7418
MEM 146.277344 1654973680.8538
MEM 141.296875 1654973680.9658
MEM 154.406250 1654973681.0758
MEM 154.460938 1654973681.1858
MEM 154.468750 1654973681.2968
MEM 144.046875 1654973681.4088
MEM 152.027344 1654973681.5198
MEM 155.714844 1654973681.6308
MEM 156.117188 1654973681.7418
MEM 156.117188 1654973681.8538
MEM 148.375000 1654973681.9638
MEM 157.507812 1654973682.0748
MEM 161.632812 1654973682.1858
MEM 161.656250 1654973682.2958
MEM 161.656250 1654973682.4068
MEM 152.726562 1654973682.5188
MEM 162.566406 1654973682.6289
MEM 168.132812 1654973682.7399
MEM 168.132812 1654973682.8519
MEM 168.132812 1654973682.9639
MEM 162.375000 1654973683.0749
MEM 150.851562 1654973683.1859
MEM 152.273438 1654973683.2969
MEM 162.542969 1654973683.4050
MEM 162.968750 1654973683.5158
MEM 163.750000 1654973683.6268
MEM 152.929688 1654973683.7378
MEM 163.597656 1654973683.8488
MEM 163.871094 1654973683.9588
MEM 163.914062 1654973684.0688
MEM 151.621094 1654973684.1798
MEM 155.746094 1654973684.2908
MEM 165.210938 1654973684.4028
MEM 165.667969 1654973684.5138
MEM 165.679688 1654973684.6248
MEM 165.679688 1654973684.7368
MEM 165.691406 1654973684.8478
MEM 151.988281 1654973684.9588
MEM 150.425781 1654973685.0698
MEM 161.300781 1654973685.1808
MEM 161.570312 1654973685.2898
MEM 161.613281 1654973685.3999
MEM 161.621094 1654973685.5119
MEM 150.269531 1654973685.6238
MEM 156.976562 1654973685.7328
MEM 162.757812 1654973685.8418
MEM 162.769531 1654973685.9538
MEM 162.769531 1654973686.0648
MEM 162.769531 1654973686.1748
MEM 150.210938 1654973686.2868
MEM 154.527344 1654973686.3977
MEM 162.910156 1654973686.5078
MEM 163.394531 1654973686.6189
MEM 163.410156 1654973686.7299
MEM 163.445312 1654973686.8408
MEM 153.648438 1654973686.9518
MEM 153.003906 1654973687.0618
MEM 159.550781 1654973687.1708
MEM 169.085938 1654973687.2818
MEM 170.207031 1654973687.3908
MEM 170.726562 1654973687.5028
MEM 152.769531 1654973687.6131
MEM 154.050781 1654973687.7241
MEM 161.980469 1654973687.8351
MEM 170.960938 1654973687.9451
MEM 172.222656 1654973688.0561
MEM 172.265625 1654973688.1681
MEM 154.566406 1654973688.2791
MEM 159.199219 1654973688.3901
MEM 166.109375 1654973688.5021
MEM 175.273438 1654973688.6141
MEM 176.902344 1654973688.7241
MEM 176.964844 1654973688.8351
MEM 176.980469 1654973688.9461
MEM 160.882812 1654973689.0571
MEM 166.253906 1654973689.1671
MEM 170.308594 1654973689.2771
MEM 177.574219 1654973689.3871
MEM 183.941406 1654973689.4981
MEM 185.316406 1654973689.6091
MEM 185.464844 1654973689.7201
MEM 185.484375 1654973689.8291
MEM 171.906250 1654973689.9401
MEM 162.906250 1654973690.0511
MEM 166.148438 1654973690.1621
MEM 176.566406 1654973690.2731
MEM 178.742188 1654973690.3841
MEM 178.796875 1654973690.4951
MEM 178.824219 1654973690.6051
MEM 161.210938 1654973690.7171
MEM 162.332031 1654973690.8281
MEM 174.449219 1654973690.9391
MEM 176.695312 1654973691.0471
MEM 162.839844 1654973691.1571
MEM 163.378906 1654973691.2681
MEM 173.386719 1654973691.3791
MEM 177.085938 1654973691.4901
MEM 166.367188 1654973691.6021
MEM 160.332031 1654973691.7131
MEM 165.449219 1654973691.8241
MEM 173.406250 1654973691.9361
MEM 174.300781 1654973692.0461
MEM 159.636719 1654973692.1541
MEM 164.445312 1654973692.2651
MEM 173.613281 1654973692.3741
MEM 173.750000 1654973692.4841
MEM 163.039062 1654973692.5949
MEM 166.500000 1654973692.7034
MEM 175.097656 1654973692.8144
MEM 176.187500 1654973692.9274
MEM 176.214844 1654973693.0364
MEM 164.546875 1654973693.1484
MEM 167.980469 1654973693.2634
MEM 172.410156 1654973693.3684
MEM 172.445312 1654973693.4784
MEM 172.445312 1654973693.5884
MEM 167.902344 1654973693.7004
MEM 150.148438 1654973693.8124
MEM 156.027344 1654973693.9244
MEM 156.480469 1654973694.0344
MEM 156.480469 1654973694.1464
MEM 150.503906 1654973694.2564
MEM 156.210938 1654973694.3674
MEM 156.707031 1654973694.4784
MEM 156.707031 1654973694.5904
MEM 151.171875 1654973694.7014
MEM 156.843750 1654973694.8134
MEM 156.941406 1654973694.9224
MEM 156.964844 1654973695.0334
MEM 147.753906 1654973695.1444
MEM 153.132812 1654973695.2554
MEM 153.230469 1654973695.3664
MEM 153.230469 1654973695.4774
MEM 146.601562 1654973695.5874
MEM 147.437500 1654973695.7014
MEM 152.621094 1654973695.8064
MEM 153.070312 1654973695.9174
MEM 153.070312 1654973696.0284
MEM 147.589844 1654973696.1404
